"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1"
1.902,3.69,0.95,,,,
1.935,3.58,1.11,-3.36,4.32,,
1.969,3.46,1.23,-2.88,3.60,7.19,-14.38
2.002,3.38,1.35,-2.88,3.36,4.24E-5,-3.60
2.035,3.27,1.46,-2.88,3.36,3.60,-1.02E-4
2.069,3.19,1.57,-2.64,3.36,-5.35E-5,-7.19
2.102,3.10,1.68,-2.88,2.88,-7.19,-10.79
2.135,3.00,1.76,-3.12,2.64,6.46E-5,-3.60
2.169,2.89,1.86,-2.88,2.64,-3.19E-13,-3.60
2.202,2.81,1.94,-3.12,2.40,-6.46E-5,-17.98
2.236,2.68,2.02,-2.88,1.44,7.19,-21.57
2.269,2.62,2.04,-2.64,0.96,-7.19,-7.19
2.302,2.50,2.08,-3.36,0.96,-3.59,-7.19
2.336,2.39,2.10,-2.88,0.48,7.19,-7.19
2.369,2.31,2.12,-2.88,0.48,-3.60,0.00
2.402,2.20,2.13,-3.12,0.48,-3.60,-10.79
2.436,2.10,2.15,-3.12,-0.24,-3.59,-14.38
2.469,1.99,2.12,-3.36,-0.48,5.35E-5,-7.19
2.503,1.88,2.12,-3.12,-0.72,3.59,-14.38
2.536,1.78,2.07,-3.12,-1.44,1.65E-5,-7.19
2.569,1.67,2.02,-3.12,-1.20,7.19,-3.60
2.603,1.58,1.99,-2.64,-1.68,-7.00E-5,-17.98
2.636,1.50,1.91,-3.12,-2.40,-7.19,-14.38
2.669,1.37,1.83,-3.12,-2.64,3.60,-7.19
2.703,1.29,1.73,-2.88,-2.88,-3.60,-7.19
2.736,1.18,1.63,-3.36,-3.12,-3.59,-10.79
2.769,1.06,1.52,-3.12,-3.60,7.19,-7.19
2.803,0.97,1.39,-2.88,-3.60,-9.68E-5,-7.19
2.836,0.87,1.28,-3.12,-4.08,7.19,7.19
2.870,0.76,1.12,-2.40,-3.12,35.95,57.52
2.903,0.71,1.07,-0.72,-0.24,,
2.936,0.71,1.11,,,,
