"Time (s) Run #1","x-Position, Object #1 (m) Run #1","y-Position, Object #1 (m) Run #1","x-Velocity, Object #1 (m/s) Run #1","y-Velocity, Object #1 (m/s) Run #1","x-Acceleration, Object #1 (m/s²) Run #1","y-Acceleration, Object #1 (m/s²) Run #1"
2.866,0.69,0.27,,,,
2.883,0.66,0.28,-1.41,0.75,,
2.899,0.64,0.29,-1.31,1.12,11.25,-0.01
2.916,0.62,0.31,-1.03,0.75,11.15,-19.62
2.933,0.61,0.32,-0.94,0.47,-8.48,-14.08
2.949,0.59,0.33,-1.31,0.28,-13.97,-19.72
2.966,0.56,0.33,-1.40,-0.19,11.26,-19.67
2.983,0.54,0.32,-0.94,-0.37,25.25,-8.46
2.999,0.53,0.31,-0.56,-0.47,2.81,-2.81
3.016,0.52,0.31,-0.84,-0.47,-11.23,-5.61
3.033,0.51,0.30,-0.94,-0.66,-0.01,-8.44
3.049,0.49,0.28,-0.84,-0.75,2.80,-11.27
3.066,0.48,0.27,-0.84,-1.03,-2.82,-11.27
3.083,0.46,0.25,-0.94,-1.13,0.01,-2.80
3.099,0.45,0.23,-0.84,-1.13,11.32,-5.50
3.116,0.44,0.21,-0.56,-1.31,2.81,-14.03
3.133,0.43,0.19,-0.75,-1.59,-8.56,-14.33
3.149,0.41,0.16,-0.85,-1.79,2.86,-8.35
3.166,0.40,0.13,-0.66,-1.87,2.87,0.12
3.183,0.39,0.10,-0.75,-1.78,-2.91,2.56
3.199,0.37,0.07,-0.75,-1.79,,
3.216,0.36,0.04,,,,
